date,Number of Sunspots
1818,30.476712328767125
1819,25.96986301369863
1820,14.442622950819672
1821,7.47945205479452
1822,6.016438356164383
1823,1.63013698630137
1824,5.590163934426229
1825,23.816438356164383
1826,52.38356164383562
1827,72.87123287671233
1828,89.04918032786885
1829,91.61369863013698
1830,85.91780821917808
1831,62.88767123287671
1832,33.27322404371585
1833,10.487671232876712
1834,13.63013698630137
1835,40.16164383561644
1836,86.85245901639344
1837,92.83561643835617
1838,92.43835616438356
1839,75.52602739726028
1840,71.17213114754098
1841,47.81095890410959
1842,34.156164383561645
1843,15.73972602739726
1844,19.93169398907104
1845,47.47671232876712
1846,69.18630136986302
1847,105.35342465753425
1848,132.81420765027323
1849,182.51780821917808
1850,126.25479452054795
1851,121.96986301369863
1852,102.73224043715847
1853,74.1041095890411
1854,39.04657534246575
1855,12.69041095890411
1856,8.191256830601093
1857,43.35342465753425
1858,104.44383561643835
1859,178.32876712328766
1860,182.1830601092896
1861,146.57534246575344
1862,112.08767123287672
1863,83.54520547945205
1864,89.22950819672131
1865,57.81095890410959
1866,30.706849315068492
1867,13.90958904109589
1868,62.77322404371585
1869,123.58904109589041
1870,232.0054794520548
1871,185.3013698630137
1872,169.15573770491804
1873,110.14520547945206
1874,74.52054794520548
1875,28.339726027397262
1876,18.92349726775956
1877,20.660273972602738
1878,5.701369863013698
1879,10.046575342465754
1880,53.70765027322405
1881,90.5013698630137
1882,99.02191780821917
1883,106.1013698630137
1884,105.75409836065573
1885,86.34794520547945
1886,42.43287671232877
1887,21.824657534246576
1888,11.193989071038251
1889,10.38082191780822
1890,11.824657534246576
1891,59.47671232876712
1892,121.66120218579235
1893,142.0191780821918
1894,129.96164383561643
1895,106.56986301369864
1896,69.43715846994536
1897,43.75890410958904
1898,44.42191780821918
1899,20.23013698630137
1900,15.73150684931507
1901,4.586301369863014
1902,8.501369863013698
1903,40.75342465753425
1904,70.1311475409836
1905,105.4904109589041
1906,90.1013698630137
1907,102.76986301369863
1908,80.89071038251366
1909,73.21643835616439
1910,30.926027397260274
1911,9.484931506849316
1912,6.016393442622951
1913,2.3972602739726026
1914,16.052054794520547
1915,78.99178082191781
1916,95.03551912568307
1917,173.62739726027397
1918,134.6
1919,105.74794520547945
1920,62.72677595628415
1921,43.52054794520548
1922,23.71780821917808
1923,9.663013698630136
1924,27.896174863387976
1925,74.03835616438356
1926,106.4958904109589
1927,114.72054794520548
1928,129.71311475409837
1929,108.21643835616439
1930,59.397260273972606
1931,35.06575342465754
1932,18.560109289617486
1933,9.227397260273973
1934,14.556164383561644
1935,60.175342465753424
1936,132.83333333333334
1937,190.63287671232877
1938,182.61369863013698
1939,147.95616438356166
1940,113.03005464480874
1941,79.16164383561645
1942,50.75890410958904
1943,27.117808219178084
1944,16.06830601092896
1945,55.33150684931507
1946,154.31506849315068
1947,214.72328767123287
1948,193.03005464480876
1949,190.72054794520548
1950,118.87123287671233
1951,98.2986301369863
1952,44.967213114754095
1953,20.13150684931507
1954,6.605479452054794
1955,54.16164383561644
1956,200.6639344262295
1957,269.2931506849315
1958,261.6849315068493
1959,225.1095890410959
1960,159.0191256830601
1961,76.43013698630136
1962,53.35068493150685
1963,39.945205479452056
1964,15.030054644808743
1965,21.972602739726028
1966,66.75616438356164
1967,132.90684931506848
1968,150.0136612021858
1969,149.36712328767123
1970,147.9890410958904
1971,94.4
1972,97.6120218579235
1973,54.12602739726027
1974,49.21643835616438
1975,22.4986301369863
1976,18.415300546448087
1977,39.320547945205476
1978,130.9917808219178
1979,220.06027397260274
1980,218.94808743169398
1981,198.87671232876713
1982,162.37808219178083
1983,90.95068493150686
1984,60.486338797814206
1985,20.578082191780823
1986,14.764383561643836
1987,33.865753424657534
1988,122.99726775956285
1989,211.05205479452056
1990,191.76164383561644
1991,203.27397260273972
1992,132.9863387978142
1993,76.0958904109589
1994,44.88493150684931
1995,25.073972602739726
1996,11.560109289617486
1997,28.936986301369863
1998,88.25753424657535
1999,136.32876712328766
2000,173.85792349726776
2001,170.4082191780822
2002,163.56164383561645
2003,99.27397260273973
2004,65.3360655737705
2005,45.8027397260274
2006,24.676712328767124
2007,12.643835616438356
2008,4.158469945355192
2009,4.780821917808219
2010,24.86849315068493
2011,80.84109589041095
2012,84.53825136612022
2013,94.02191780821917
2014,113.34520547945205
2015,69.81643835616438
2016,39.822404371584696
2017,21.73972602739726
2018,6.972602739726027
2019,4.157894736842105
